downstream_packets,downstream_bytes,upstream_packets,upstream_bytes
2489,1110160,5669,65701904
2240,996656,5133,59351320
2423,1081248,5505,63829528
980,438592,2115,24126992
2129,906696,3784,43518400
1392,618096,2681,30783872
905,422544,1903,21808360
825,384056,1499,16963360
846,365472,1250,14210584
817,347712,1251,14136176
328,139856,497,5453728
200,104304,291,2929488
341,166080,449,4878088
563,251296,735,8178520
808,347280,1050,11825888
826,347248,1093,12351704
761,324688,987,11112864
669,282344,892,9901560
809,337360,1089,12198352
851,357184,1183,13314904
820,345360,1123,12684472
878,373248,1272,14428600
782,347976,1142,12836264
859,359648,1230,13965904
1060,449120,1656,18903280
1161,504000,2035,23180160
1168,499280,1995,22706032
817,347008,1247,13994680
571,239152,776,8719640
NaN,NaN,NaN,NaN
600,248744,784,8850456
620,277408,776,8742424
668,1057320,815,8697640
612,258112,821,9279400
613,261016,793,8860584
609,257696,743,8332336
607,261360,764,8393840
620,276352,788,8809488
581,246536,781,8534560
696,297064,914,10173848
676,293936,888,9791600
556,240600,714,7817488
598,253600,776,8500320
632,265848,884,9854736
565,239256,751,8357608
478,204320,702,7826744
544,233312,754,8397888
529,226256,679,7573424
496,214208,801,8883192
537,235416,867,9616784
604,257968,886,10020384
636,269592,867,9820008
560,255264,775,8637248
395,169512,517,5807000
618,261192,748,8418440
418,182680,524,5847224
558,240208,702,7845632
755,317304,1029,11598088
803,336032,1241,14216960
952,403768,1522,17390464
840,353616,1267,14322712
732,316784,1115,12580240
815,343768,1288,14552136
802,342032,1276,14363992
935,393592,1464,16739960
910,385032,1476,16932464
733,312912,1159,13118480
878,378488,1405,15964792
934,389952,1390,15797352
942,391352,1386,15758112
807,338136,1251,14284176
880,369672,1320,15088808
1017,425688,1443,16550848
867,364336,1194,13518752
971,406344,1367,15535800
861,362200,1243,14217304
927,393280,1411,16131272
498,216536,775,8826456
533,226960,798,9113400
517,222264,832,9446264
468,205088,736,8270424
NaN,NaN,NaN,NaN
565,244312,839,9506328
631,282208,961,10694920
548,238592,843,9413776
480,205216,759,8493576
534,237864,951,10705872
615,264320,1009,11444944
570,242528,918,10403792
634,270728,950,10758544
1297,541456,1678,19303672
5076,2110168,5629,65519176
4816,1980280,5415,63155832
4988,2043584,5460,63619408
5265,2152144,5804,67723216
5053,2073088,5573,64987680
5416,2232392,6087,70984600
4974,2068192,6055,70466056
4972,2055752,5900,68767944
4586,1888416,5308,61826648
5030,2078032,5949,69413064
4626,1920080,5303,61759160
5027,2058344,5604,65417392
4939,2027704,5507,64238200
4812,1974680,5286,61527808
4773,1966320,5304,61669032
4525,1860024,4971,57833040
4373,1809200,4876,56726920
4221,1735392,4712,54835192
4388,1811576,4899,57083704
4728,1943208,5306,61736776
4720,1945712,5236,60867688
5192,2168376,5714,66489296
4996,2058416,5592,65207328
5057,2071304,5658,66014856
5045,2074832,5846,68213296
4787,1974040,5478,63868016
6056,2502296,7138,83300336
6130,2535432,6940,80876688
5880,2406000,6788,79172296
5134,2113480,5855,68340936
5099,2143816,7000,81066488
4918,2131336,7784,88152704
4821,2053032,6615,75558368
5342,2245480,6922,79610064
5240,2201816,6852,78735208
5276,2199152,6806,78576672
NaN,NaN,NaN,NaN
4791,2006992,6185,71347328
4673,1940072,5879,67921664
4637,1915928,5835,67612544
5171,2143816,6390,73986288
5451,2252264,6462,74970992
5338,2204120,6348,73510480
4864,2014880,5977,69242720
4605,1902960,5736,66515520
4532,1886424,5939,68842792
4739,1971232,6051,70013344
4763,1993104,6179,71229848
5155,2153712,6600,76236328
5221,2156744,6068,70491568
5112,2099368,5717,66664488
5106,2105456,5734,66884400
4106,1701832,4855,56653848
4482,1916936,6728,78590616
3996,1727744,5933,69230040
4277,1893672,7044,82242848
3400,1526464,6467,75477984
3953,1710392,6250,72889696
3874,1692808,6451,75095392
4420,1880352,6342,73903016
4209,1840392,6659,77556616
4068,1792880,7207,84009264
4380,1836728,5172,59949736
4226,1776624,4918,57179560
4093,1717992,4614,53536040
4315,1786880,4842,56239960
4205,1785592,4908,57010864
3622,1540080,4397,51209200
4748,1957112,5195,60427552
4089,1705296,5273,61262896
4195,1756008,5739,66675792
4341,1833040,6316,73412592
4375,1832664,5974,69500800
4368,1844448,5940,69105992
4421,1862776,5961,69330832
4389,1848808,5736,66703240
5099,2143624,5786,67376424
4590,1917792,5649,65847048
4237,1793168,5629,65629024
NaN,NaN,NaN,NaN
3916,1685400,5333,62232352
4720,1959584,5201,60495128
5043,2083696,5462,63572696
4682,1965648,6202,72023704
4320,1784912,5102,59275456
3841,1598600,4921,57171168
3340,1386048,4171,48494632
616,277040,1528,17419008
1596,819048,6815,79427112
1446,806904,6718,78336608
1071,618712,6380,74297064
736,459992,5410,62955240
1099,634032,6289,73179016
730,476648,5838,67972664
683,435504,5248,61005648
783,485704,5310,61763032
872,548328,5635,65614976
929,560280,6049,70500608
1098,628352,6286,73240584
880,572728,5763,67039608
783,508328,5573,64864920
868,533808,5972,68211472
1120,622592,6124,71586088
1082,609840,5739,67035352
693,429856,5258,61303600
890,554352,5808,67635552
528,346184,5223,60808216
1066,617352,5867,68126320
524,342104,5143,59062984
674,456760,5597,61097344
599,421320,5722,62552504
787,1194008,5235,58175528
202,191408,2107,24167664
1151,666840,4442,50890624
869,551808,4381,50726712
624,466912,4834,53532952
841,514976,5476,60905768
985,610952,6099,67744920
725,469208,5309,58623832
793,505736,5065,56104496
738,472920,4795,53550064
NaN,NaN,NaN,NaN
999,639584,5923,65880856
1099,711512,6492,72499528
1136,724776,6158,68909640
872,560320,5746,63691624
1070,674856,5644,65819744
1204,683584,6275,73129080
974,574744,5635,65720480
1000,580848,5493,63981560
1025,599664,4886,56739472
1683,838296,6113,71237680
1503,760752,5667,65936248
919,523656,3799,44144968
751,390096,1729,19865064
550,258808,1075,12173304
703,332768,1127,12930648
748,382720,1920,22182472
806,414368,1902,22046640
468,210032,839,9548648
378,166344,661,7440104
694,356200,1516,17493760
400,177728,571,6429664
534,248160,889,10177896
746,376824,1447,16761864
424,202432,796,9090120
414,205664,1619,18724648
668,354888,2421,28082392
478,244920,1691,19455688
736,375616,1529,17677024
708,344088,1326,15170680
501,235448,871,9864592
571,265416,1259,14256680
791,390392,1670,19164624
730,361336,1434,16397528
857,425952,2007,23216352
851,448256,1966,22693856
896,464448,2076,24075152
872,444336,1955,22650848
751,391600,1675,19432704
616,285784,1374,15801176
1326,620224,2621,30370584
1251,573040,2465,28637624
1547,746744,3617,42093184
1454,705224,3891,45260712
1207,558432,3145,36490296
NaN,NaN,NaN,NaN
1664,779432,3591,41773504
1492,746040,4280,49708472
1250,638064,3515,40816488
742,380432,1826,21135008
597,280928,1363,15692528
670,352792,1567,18013728
647,314728,1410,16157936
536,266824,1235,14087056
668,330216,1573,18041688
641,334848,1586,18247104
805,385160,1718,19893584
762,367464,1770,20525536
794,380640,1809,20881520
759,364312,1566,18082928
758,344512,1672,19328912
649,295552,1501,17354808
426,180520,777,8893144
552,236696,889,10147928
655,288936,1006,11489920
757,322352,1153,13193904
734,322816,1118,12812128
655,279808,1045,12009528
646,281160,1323,15292528
926,420096,2308,26780640
678,305600,1774,20532664
1015,450784,1953,22580984
886,375072,1509,17346336
758,322048,1592,18427424
914,427240,1714,19791776
1113,484744,2007,23181168
922,408272,1678,19216592
965,419384,1812,20799200
651,278912,1243,14226408
950,437280,1863,21573520
817,367360,1572,18162608
625,268856,1174,13425184
691,303616,1405,16151000
871,379760,1575,18183760
755,348592,1650,19112176
598,276528,1569,18159184
693,318760,1523,17597016
623,269472,1155,13281664
876,392480,1446,16720104
818,344072,1284,14848800
799,341096,1296,14989136
639,272168,1120,12932264
625,280792,1392,16069216
NaN,NaN,NaN,NaN
798,365448,1882,21693808
821,368112,1925,22219912
738,333224,1405,16063072
1000,468096,1693,19649136
1158,560448,2057,23890336
759,341984,1345,15513336
910,416712,1628,18699192
838,379816,1714,19668080
968,428024,3056,35067872
1203,577184,3747,43274928
1045,456752,2861,32896976
1312,641936,2578,29976072
952,450144,1785,20693128
1135,559560,2164,25120776
995,482472,1952,22664680
1353,681424,2683,31366936
1417,727584,2667,31144728
1436,723624,3046,35592720
1274,629944,2706,31604336
1515,759752,3186,37309040
1791,887816,3575,41928184
1513,738872,3037,35599424
1836,902728,3687,43269984
1805,910568,3507,41015952
1758,843144,3203,37413976
1682,839968,3052,35676424
996,432472,1650,19026480
1538,665704,2513,29072312
1966,853616,3285,37940336
1391,605664,2264,26176424
1892,828584,3089,35753520
2118,945160,3514,40684528
2148,936576,5791,67368512
2354,1030888,6338,73915528
1785,796400,5582,65060144
1730,842240,5571,64847552
1541,688040,4329,50367408
1390,620096,3477,40256144
1210,552224,3349,38835784
1601,709320,3710,42973456
1545,690176,4051,47000272
1687,750816,4354,50510808
1657,724192,3692,42776816
1519,679168,3540,40968312
1623,724616,3566,41311096
1229,550968,2960,34266792
1361,619208,3356,38886504
NaN,NaN,NaN,NaN
1184,540176,3241,37618992
1493,670952,4464,51878984
1404,629408,3670,42601952
1335,597656,3157,36533360
1659,741984,4989,58014152
1097,506544,3996,46301408
694,311784,2167,25019152
583,275312,1730,19862984
647,297800,2172,25066768
526,246304,2215,25610040
519,244312,2255,26129552
475,226368,1991,23061648
975,467800,3602,41818600
1385,656248,4826,56274176
1444,681352,4634,53968256
951,447416,3486,40614744
553,262496,2281,26497216
489,240416,2420,28059784
696,335656,3139,36481704
746,346304,2811,32670656
580,272032,2293,26644120
995,449560,2955,34326064
858,404992,3456,40051136
953,445024,3456,40155216
538,253968,2002,23096528
576,252360,1066,12170056
507,226072,979,11168720
499,227192,1072,12275624
497,219120,990,11323752
539,253928,1116,12746776
597,269208,1264,14472496
574,252472,1137,13079752
510,228104,1019,11675216
459,205016,851,9711784
415,193464,897,10241824
334,154096,716,8097672
418,183856,692,7848208
491,228208,757,8622672
354,147240,462,5213440
337,144464,451,5058600
297,128952,389,4310976
377,162624,491,5532456
367,159992,486,5462032
432,192648,571,6462712
474,201472,630,7111192
393,174096,557,6101368
401,171320,531,5854376
388,165080,521,5779840
NaN,NaN,NaN,NaN
380,161872,534,5999056
355,150824,489,5514008
423,177296,568,6437816
546,235944,721,8078424
568,240984,731,8257352
497,213840,667,7553664
303,129064,415,4624600
383,164336,550,6209816
418,179936,598,6774952
367,155144,491,5531920
336,155216,467,5187136
320,137584,467,5263152
431,182048,562,6348488
406,174848,558,6314152
373,157800,515,5853392
430,183384,597,6746864
329,151392,688,7642024
680,281728,853,9744760
472,201704,605,6828632
387,173128,572,6304512
607,280696,968,10867280
360,155240,506,5620672
537,242640,847,9266896
519,251840,878,9555768
608,278344,988,10777248
557,274760,940,10058400
457,225104,877,9368704
395,193136,709,7552392
491,231480,801,8659856
406,196240,735,7893480
484,233208,911,9804544
503,234384,887,9621400
417,203616,764,8186880
346,176016,751,7848376
318,168448,712,7399232
506,245200,1028,11049648
530,255664,1104,11843400
412,210112,930,9835424
532,269696,1035,10943616
598,310976,1061,11283488
586,285016,1111,11853976
681,354608,1175,12732784
706,329736,1266,13737272
687,321224,1288,13983048
689,318600,1211,13293312
793,364400,1348,14736672
695,328312,1357,14696056
NaN,NaN,NaN,NaN
594,306584,1202,12973520
552,268560,1206,12908104
500,241976,1039,11032520
721,332376,1359,14795528
704,331696,1403,15188184
692,333720,1456,15608152
707,350608,1591,17016464
619,315632,1371,14623216
740,363264,1597,16861520
671,324392,1411,15020808
748,362496,2111,21646360
762,367296,2360,24243696
712,336792,1983,20527016
769,369480,2088,21535960
831,401192,2021,20971056
944,523192,2396,24877584
780,378456,2046,21192648
1175,848640,2443,25603272
900,904360,2040,21030920
901,660536,2557,26085520
827,397352,2482,25528944
805,388728,2445,25072928
822,408856,2228,23051336
901,455592,3078,31411216
827,518376,2820,28675888
832,433056,3231,32704488
916,445400,2852,29420888
831,416584,3065,31208424
711,369200,2734,27729480
808,610480,2347,24194992
1035,480480,2326,24670504
706,351528,2117,21866616
845,399648,2034,21294968
971,613160,2000,21300704
941,439120,2057,21794744
675,317728,1535,16114888
740,355728,1515,15891128
709,336216,1460,15563088
703,465408,1258,13595992
560,276344,1047,11255016
759,376400,1330,14226984
804,612088,1320,13972976
891,952928,1285,14218952
861,416416,1280,14234112
1115,1840536,1450,16041144
868,1223368,1148,12798032
1329,1412216,1898,20637672
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
2483,1257176,5020,40547672
1938,876544,2820,32222936
1783,817576,2676,30612784
1888,1097568,2804,32011960
1991,944448,2954,33924568
1937,1477760,2789,31747120
1550,841624,2187,25028528
1380,723472,1937,22151976
1572,1213456,2112,24114328
1486,1278408,1912,21921488
1027,995968,1373,15583632
995,576936,1402,16006856
1094,809400,1525,17421224
NaN,NaN,NaN,NaN
1023,698816,1396,15960760
973,542952,1415,16165808
1034,617096,1453,16516248
1193,548752,1761,20339288
1679,721560,2268,26266352
1617,704320,2264,26204488
1612,786160,2289,26347992
1904,821976,2739,31749464
1917,850152,2864,33146328
1787,807960,2717,31492832
1679,998152,2528,29109264
1713,754792,2632,30288000
1624,724464,2561,29259112
1627,1005328,2500,28286392
1711,758520,2629,29992800
1636,758592,2578,28706112
1749,815624,2769,31205472
3753,1615224,6240,71548456
1923,1177064,3089,34149912
2145,948008,3384,38222328
1793,807536,2860,32154352
1839,831856,2818,31543328
2321,1046968,3435,39357024
2112,1135352,3247,37149448
1935,877568,3163,36465008
1952,897376,3193,36709968
1651,765888,2671,30670504
1730,781512,2651,30507728
1591,712800,2374,27308768
1843,818808,2739,31740192
1600,729200,2429,28037696
1895,1131872,2842,32673184
1505,686256,2292,26536536
1404,625600,2193,25346320
1493,900552,2344,26700096
1460,666176,2314,26517024
1473,677528,2376,27109408
1301,600048,2062,23342664
1183,646384,1962,22135552
1356,2334032,2040,22922952
1294,1934368,1932,21749896
1383,1935448,1928,21698408
1449,1027960,2044,22858976
1505,1396728,2014,22516192
1304,605824,1920,21658688
NaN,NaN,NaN,NaN
1087,922648,1692,19134160
783,463208,1278,14359800
1098,739528,1697,19261272
985,471376,1558,17538800
1119,789336,1664,18617048
1423,685928,2108,23795424
1439,645544,1981,22389832
1043,496696,1590,17817984
1199,564240,1799,20373736
1069,493704,1629,18442328
805,391456,1264,14136176
768,371696,1206,13476000
919,429960,1430,15836360
658,309552,994,10917744
693,319192,1040,11474704
719,338712,1133,12552736
497,234888,786,8437848
530,247448,830,8944872
622,282088,881,9546784
483,226400,748,8023952
753,336128,1072,11761192
520,239032,745,8006288
639,286888,956,10473216
368,174560,560,5993792
295,143856,487,5176240
371,178648,561,5931144
366,177696,581,5981984
480,231184,686,7295360
530,239880,723,7796624
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
1753,1084944,3131,35992656
1140,545000,2402,27359680
928,453848,2126,24184080
1626,730968,2764,31621936
903,437680,1959,22215832
903,437624,2079,23515432
892,445944,2215,25082064
857,422840,2157,24510240
1096,527832,2274,25924664
874,434584,2202,25172728
837,438184,2365,27105832
1030,507496,2206,25185472
NaN,NaN,NaN,NaN
1716,832888,4136,47524720
1981,944328,4770,55040800
2087,979216,5204,60241704
2089,1004872,5158,59709016
2179,1050808,5110,59104048
2248,1079048,5129,59140824
2333,1164248,5445,62696104
1525,732552,3160,36252072
1154,592576,2613,29985952
886,457344,2321,26523808
937,468104,2315,26333800
824,445208,2213,25230040
932,488344,2271,26987056
919,480624,2512,27260528
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN
548,1562024,935,9968464
242,255536,308,3043400
315,175680,384,3830560
325,162304,419,4299816
332,150816,404,4211488
231,107872,278,2844632
291,129400,380,3967808
NaN,NaN,NaN,NaN
350,145896,479,5189760
322,110800,433,4599344
245,168032,329,3443968
410,131936,560,6052952
290,161168,403,4323408
364,145520,600,6594856
307,122624,437,4483736
264,181168,357,3586992
392,86432,534,5686368
201,99784,290,2968296
168,97808,233,2224392
212,101264,307,3065688
231,103072,325,3296552
232,148344,324,3242680
340,144080,487,5235952
343,268360,457,4849376
639,192672,762,8385936
